id,employee_id,task_id,start_time,end_time
1,3,1,2024-03-11 09:00:00,2024-03-11 17:00:00
2,7,1,2024-03-11 10:30:00,2024-03-11 18:30:00
3,5,1,2024-03-11 08:15:00,2024-03-11 16:15:00
4,2,1,2024-03-11 09:45:00,2024-03-11 17:45:00
5,9,1,2024-03-11 11:00:00,2024-03-11 19:00:00
6,8,1,2024-03-11 08:30:00,2024-03-11 16:30:00
7,1,1,2024-03-11 09:15:00,2024-03-11 17:15:00
8,4,1,2024-03-11 10:00:00,2024-03-11 18:00:00
9,6,1,2024-03-11 08:45:00,2024-03-11 16:45:00
10,10,1,2024-03-11 11:30:00,2024-03-11 19:30:00
